scenario,metric,analysis_type,n_pairs,n_ai,n_traditional,ai_mean,traditional_mean,difference_ai_minus_traditional,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation
accident,avg_wait_time,paired,5,5,5,9.12,23.98,-14.860000000000001,-21.9635,-3.460000000000001,61.96830692243537,0.13046738315421144
accident,flow_rate,paired,5,5,5,5.3,1.5,3.8,2.9,4.4,253.33333333333331,0.06473381654586353
accident,co2_emissions,paired,5,5,5,49.83,49.988,-0.15800000000000125,-7.0299999999999985,8.214000000000002,0.31607585820597195,0.9367658085478631
accident,emergency_response_time,paired,5,5,5,2.52,17.880000000000003,-15.360000000000003,-51.34000000000001,2.76,85.90604026845638,1.0
accident,total_collisions,paired,5,5,5,22.8,25.0,-2.1999999999999993,-4.2,-0.8,8.799999999999997,0.12646838290427392
accident,collision_avoided,paired,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emergency,avg_wait_time,paired,5,5,5,7.32,19.32,-12.0,-16.9,-8.44,62.11180124223602,0.06473381654586353
emergency,flow_rate,paired,5,5,5,10.1,4.4,5.699999999999999,3.8,7.1,129.54545454545453,0.06473381654586353
emergency,co2_emissions,paired,5,5,5,56.581999999999994,61.53000000000001,-4.948000000000015,-12.738000000000001,2.790000000000002,8.041605720786631,0.4411397150712322
emergency,emergency_response_time,paired,5,5,5,1.8399999999999999,15.62,-13.78,-21.711,-5.40899999999996,88.2202304737516,0.1277180704823794
emergency,total_collisions,paired,5,5,5,17.2,21.2,-4.0,-5.8,-1.4,18.867924528301888,0.12646838290427392
emergency,collision_avoided,paired,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
normal,avg_wait_time,paired,5,5,5,11.899999999999999,21.720000000000002,-9.820000000000004,-13.52,-4.76,45.21178637200738,0.1277180704823794
normal,flow_rate,paired,5,5,5,7.9,3.7,4.2,3.3,5.4,113.51351351351352,0.06473381654586353
normal,co2_emissions,paired,5,5,5,53.93599999999999,48.20399999999999,5.731999999999999,0.8699999999999989,10.416,-11.891129366857523,0.1849537615596101
normal,emergency_response_time,paired,5,5,5,1.9,14.74,-12.84,-27.32,-0.6799999999999998,87.10990502035278,0.2561859535116221
normal,total_collisions,paired,5,5,5,14.6,17.2,-2.5999999999999996,-4.4,-1.0,15.11627906976744,0.12171957010747313
normal,collision_avoided,paired,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rush_hour,avg_wait_time,paired,5,5,5,5.7,8.900000000000002,-3.200000000000002,-4.459999999999999,-1.9400000000000006,35.9550561797753,0.06473381654586353
rush_hour,flow_rate,paired,5,5,5,12.1,4.6,7.5,5.5,9.4,163.0434782608696,0.06473381654586353
rush_hour,co2_emissions,paired,5,5,5,152.77399999999997,149.83200000000002,2.9419999999999504,-1.4840000000000089,6.645999999999998,-1.9635324897217883,0.25268682829292677
rush_hour,emergency_response_time,paired,5,5,5,1.6800000000000002,10.440000000000001,-8.760000000000002,-15.059999999999999,-3.8324999999999725,83.9080459770115,0.06473381654586353
rush_hour,total_collisions,paired,5,5,5,83.8,90.0,-6.200000000000003,-7.8,-4.2,6.888888888888892,0.06473381654586353
rush_hour,collision_avoided,paired,5,5,5,0.2,0.4,-0.2,-0.8,0.4,-50.0,1.0
